Time (s), Node Label, Z Position (m), NT (K)
1.0,61,-3639.772216796875,312.0530090332031
1.0,62,-3642.2265625,312.1059875488281
1.0,63,-3644.770751953125,312.1600036621094
1.0,64,-3647.407958984375,312.21600341796875
1.0,65,-3650.1416015625,312.27398681640625
1.0,66,-3652.97509765625,312.3349914550781
1.0,67,-3655.912353515625,312.3970031738281
1.0,68,-3658.956787109375,312.4620056152344
1.0,69,-3662.11279296875,312.52899169921875
1.0,70,-3665.384033203125,312.5989990234375
1.0,71,-3668.775146484375,312.6709899902344
1.0,72,-3672.2900390625,312.7460021972656
1.0,73,-3675.93359375,312.8240051269531
1.0,74,-3679.710205078125,312.90399169921875
1.0,75,-3683.625,312.9880065917969
1.0,76,-3687.68310546875,313.0740051269531
1.0,77,-3691.889404296875,313.16400146484375
1.0,78,-3696.24951171875,313.2569885253906
1.0,79,-3700.769287109375,313.3529968261719
1.0,80,-3705.4541015625,313.4530029296875
1.0,81,-3710.310302734375,313.5570068359375
1.0,82,-3715.34423828125,313.66400146484375
1.0,83,-3720.56201171875,313.7749938964844
1.0,84,-3725.970703125,313.8900146484375
1.0,85,-3731.5771484375,314.010009765625
1.0,86,-3737.388671875,314.1340026855469
1.0,87,-3743.41259765625,314.2619934082031
1.0,88,-3749.656982421875,314.3949890136719
1.0,89,-3756.12939453125,314.5329895019531
1.0,90,-3762.8388671875,314.6759948730469
1.0,91,-3769.79345703125,314.8240051269531
1.0,92,-3777.00244140625,314.9779968261719
1.0,93,-3784.47509765625,315.1369934082031
1.0,94,-3792.220703125,315.302001953125
1.0,95,-3800.25,315.4729919433594
1.0,96,-3808.572509765625,315.6510009765625
1.0,97,-3817.19970703125,315.8340148925781
1.0,98,-3826.14208984375,316.0249938964844
1.0,99,-3835.41162109375,316.2229919433594
1.0,100,-3845.02001953125,316.427001953125
1.0,101,-3854.97998046875,316.6400146484375
1.0,102,-3864.58837890625,316.843994140625
1.0,103,-3873.85791015625,317.0419921875
1.0,104,-3882.80029296875,317.23199462890625
1.0,105,-3891.427490234375,317.4159851074219
1.0,106,-3899.75,317.593994140625
1.0,107,-3907.779296875,317.7650146484375
1.0,108,-3915.52490234375,317.92999267578125
1.0,109,-3922.99755859375,318.0889892578125
1.0,110,-3930.20654296875,318.2430114746094
1.0,111,-3937.1611328125,318.3909912109375
1.0,112,-3943.87060546875,318.53399658203125
1.0,113,-3950.343017578125,318.6719970703125
1.0,114,-3956.58740234375,318.80499267578125
1.0,115,-3962.611328125,318.9330139160156
1.0,116,-3968.4228515625,319.0570068359375
